IM Name,Average Votes
soulkeepndaddy,4.3
Truesweetguy69,4.3
bpvmo,4.29
trustnooneeveryonesfake,4.29
strega_num_7,4.29
ndguy58746,4.29
working_loving_goodman,4.29
jmv91373,4.29
producerpaul2001,4.29
uchi_deshi2000,4.29
User194547,4.29
michaelmeyer2448,4.27
jake905_1999,4.27
kinkyjeff694u,4.27
jim90020,4.27
FirstAndGrand,4.27
hckywingnut2000,4.27
icouldspoilu,4.27
kuzzoo61,4.26
popogh64,4.26
smk610,4.26
ghost27_73,4.26
fuddster88,4.25
charlie_e44,4.25
tito_92503,4.24
dckroll,4.24
bluebentleydog,4.24
magic4isl2002,4.24
kissmytickle,4.24
atx_muffdiver / austinphantom,4.24
alanp110,4.23
abraxisreborn,4.23
aticloose,4.22
tonezonenj,4.22
whiteboy562,4.22
rebal20032003,4.22
Xcursion24,4.22
hum_366,4.22
milw_male2002,4.21
mikeman7828,4.21
toddb39,4.21
Pavlov1234,4.2
dhaval_bharucha,4.2
boywonder832,4.2
marriedandlookingforfun31313,4.2
Zachery,4.19
thedude420xxx,4.19
Inxs00,4.19
wrestlingdudeeasttn,4.19
tulsapunker92 / chrisidleone / ardmorewarrior1999,4.19
m4pixeleen,4.18
phoenix89032,4.18
kenneth_forton,4.18
chrispy967,4.18
Army_dude1982,4.17
letsgo212000,4.17
blaggca,4.17
jackson39211wm,4.16
michguyhere,4.16
"aGreatGuy
Average Votes: 4.16
Chat Avenue and Texting - Beverly, Massachusetts",4.16
brian_e024,4.16
x_cums_in_the_night_x,4.16
nj_dom_4_f,4.15
mansfield_tiger2007,4.15
mikejardi,4.15
jazzeman04,4.15
wookinpanub420,4.15
teadyber,4.15
godofwineof3eb,4.15
buick19722001,4.15
niceguy4u810,4.15
mrk_youngblood,4.15
juggalo4lifesuckas,4.15
stephen_tanner69,4.15
jlh3120,4.14
lee_greer74,4.14
youwantcomeandgetme2005,4.14
hot95cobraguy,4.14
jacob_cason2003,4.13
atlanta.italian,4.13
ACAR556,4.13
nadd556,4.13
spongebob_giantdick,4.13
pickup_man87,4.12
usta_tennis,4.12
b318ti,4.11
daddywants2playnokc,4.11
Dsswinney,4.11
clitlicker42303,4.11
dveightus,4.11
Trianglelover,4.1
notjustanotherncguy,4.1
woodentaintboy,4.1
sugardavis,4.1
mkrauss0460,4.09
LustfulSucker,4.09
dragon_2973,4.09
lowvoltage18,4.09
warreng68,4.09
rk63s2000,4.08
groehrig123,4.08
magichands7777,4.08
johnchess2000,4.07
mr_b_jones2,4.07
daydreamez69,4.07
jtwant2play,4.07
persuasion2032,4.07
mikespikegetiingcrazytocu,4.07
texassailor04,4.06
golfboi59,4.06
thenamestheygivearedumb,4.06
Printo316,4.06
jlucero155_l,4.05
bigdaddy68iou1,4.05
mlchatellier,4.05
the_third_storm,4.05
ballsac49829,4.04
john_adamowski,4.04
teakadai_pandi,4.04
ussoldier2281 / lowcamaro97,4.04
venom8518,4.03
WrghtrAlcm,4.02
jackjohnsons7,4.02
bearinwolfsfur,4.02
mack916@sbcglobal.net,4.02
deirules83,4.01
fargo1982,4.01
gjk1352,4.01
docman_818,4.01
sst83,4.01
jaysun28m,4
chawpie,4
atl_csd_7/kcusn/lexis_davis2000,4
maken_do_692003,4
Socal128,4
cookingman65,3.99
mandaringuy78,3.98
cseli606,3.98
ekoplaya20,3.98
bwblueeyes04,3.98
balin79,3.98
centgaguy04,3.98
green_eye_latino669,3.98
J H,3.97
shi_guy_99,3.97
talldreamy_doc,3.97
starman542000,3.96
hungforyung,3.96
pal03_2004,3.96
kutepadude4u27,3.96
gca93066,3.96
toddgetrdone,3.96
WebDev2,3.95
bob10282001,3.95
truckboss005,3.95
theoldmonk_4_all,3.95
ricks_talented_tongue,3.95
wellhungnwky,3.94
yp_anthony_louisville_284,3.94
edgesoccer22,3.94
hd88399,3.94
jc_bah,3.94
darkprince666_2006,3.93
erickbigdick,3.93
bossofct,3.92
chinaski818,3.92
geo_allino,3.92
movieman2397,3.92
ps3player178,3.92
jkspeedster0112,3.92
"joketer34
Average Votes: 3.92
Yahoo IM - Bordentown, New Jersey",3.91
red387peter,3.91
hiexcitement,3.91
readyto_fck,3.91
broken_empires,3.9
g_balthareddy,3.9
OjaiRadDad,3.9
italianlover37,3.9
bravesfan34581,3.9
OSU_Cowboy_24,3.9
trvlinguy@ymail.com,3.89
cheren03,3.89
wesleybrannen82,3.88
stoned_party,3.88
detfreak99@sbcglobal.net,3.88
guy_from_mars83,3.88
jtg7784/tracyg7577,3.88
rentalmaninpeoria,3.88
manflooking4sexwithladymoorheadf,3.88
zavior01,3.88
latino_626,3.88
pete_wood11,3.88
mikep37013,3.88
rockstar9992003,3.88
cooperisaaca,3.87
daniel_pulido78,3.87
okape40,3.87
andaconda40,3.87
cobbler1976,3.87
hey_malen,3.87
vinnyblubinzburg,3.86
steelmanoo,3.86
Curt350,3.86
korn76_99,3.86
hotntastymale,3.86
SetOnMyShaft,3.85
steamerboyddc1,3.85
parknride_469,3.85
marzain2002,3.85
padre0572,3.84
meatrocket8,3.84
DB,3.84
hunglowilove69,3.84
kfrankhouse350z,3.83
Indianahighroller,3.83
wocket2003,3.83
Billy Joe,3.83
nickpaul19802000,3.83
freebird_72000,3.83
davekruz2003,3.82
westwoodkush,3.82
bandit8077,3.82
donni1957_male,3.82
daggers_of_passion,3.81
uncommansense2,3.81
JungleMania20050,3.81
tafatiw2006,3.8
georgiamike1968,3.8
fseminoles2008,3.8
mibbbboy,3.8
jaime2002_22,3.8
mknight322,3.8
pol_clemente,3.8
strongman5577,3.79
lvamf5454,3.79
Clayton Dickerson,3.78
farzadboy2003,3.78
welfare_isforwhitefolks,3.78
dipoyoy,3.77
Hibuddywazsup,3.77
billy_williams65,3.77
samr125,3.76
sweet_jason002,3.76
virgin18yearold,3.76
ginty77,3.76
loverboy212x,3.76
lhofusa,3.75
whosurdaddynj,3.75
whittierwannado,3.75
h_k43232,3.75
cowboymason2000,3.74
needinit1983,3.73
thicklongfunone / augustfunone07,3.72
vanishing150 / jayolla21,3.72
sharkiesfin2000,3.72
victor_wells2002,3.71
dan45_m_1,3.71
jeff_fisher94,3.71
jinxman555,3.71
fredold_2000,3.71
kydaddyalone,3.71
davetalbot654,3.7
cal_xicano130,3.7
pedro70001976,3.7
augustadude2004,3.7
Kent Grant,3.7
tim_arthur2001,3.7
solepleaser,3.68
darthkaveli,3.68
Salsakewl,3.68
freshfromthemachine,3.68
e_rectedmale,3.68
lookinfforsex/fishman1192002,3.68
Nice Guy,3.68
nevada_bum,3.68
awaltherslong,3.68
Josh Mcclendon,3.68
bs9875327,3.68
marriedbutlonelyguy / warped_1701d,3.68
allenriley2011,3.67
perangiyur,3.67
usnavyrules2005,3.67
spaki786,3.66
deaf1_one,3.66
derbear72,3.66
mygsr1,3.65
perfect_buddy_ga,3.65
tory beltz,3.65
hel_bomber,3.65
jmkosis,3.65
longbeachdude19,3.64
Naproxin,3.64
boosted_hollyjack,3.64
briman31282,3.64
koolkrod16,3.64
quin_says,3.64
cmyc3vette,3.64
dsalyers167,3.63
mike_vestal69,3.63
alonzo403,3.63
tim41607,3.63
makavelli_of_lewiston,3.63
F C,3.63
dick_hungwell64,3.62
roger4450,3.62
justmetoddray,3.62
mr.emmert,3.62
ljjl_9999,3.62
holdyoucloser2003,3.62
greg_green98,3.62
craigtraylor,3.61
big_dave5188,3.61
kingspade1714,3.61
Adamou217,3.61
florida_in_miami,3.61
i_8u_raw,3.61
innocentz6197@sbcglobal.net,3.61
krazythug_692000,3.6
jay1oc,3.6
kashkhan773,3.6
gavy_nakai,3.6
jon_mark7,3.6
mani_dasa,3.6
restchoice2000,3.6
scoobydooatl01,3.58
ericthebige2005 / WellEndowedEric,3.58
bmars1411 and skydivescout82,3.58
redneckraynor20,3.58
bluegrizzly32,3.57
Develo Arma,3.57
rn_buzzkiller2003,3.57
thedragonreborn_30,3.57
blkstallionfourwladies,3.57
kardassian_2,3.56
mjn_523,3.56
har_a_lee,3.56
novamike30,3.56
n_karov,3.56
wi11s_atm,3.56
herrhollrah / unlistedunseen,3.55
celica7000,3.55
figwithbqe,3.55
MatrixJB84,3.55
Roger Cassidy,3.55
primitman,3.55
ktech724,3.54
needafriendtotalkto2005,3.54
gerald_white30627,3.54
chrisnr1998,3.54
nhbfullcontact21,3.54
bloodlineofhate,3.53
louisianamaster1983,3.53
JDC074 and Sgps malaysia,3.53
sphinx_56_02,3.53
jack_doh12,3.52
enjoy97601,3.52
olgdaddy611,3.51
christopher_brown1991,3.51
daddieforu,3.51
DonCeech,3.51
six_pack_so_calif,3.5
crazy_town_4_2_0,3.5
liv2rydu10,3.5
asian_kreationz,3.5
jagjen2003,3.49
burtoncanyon1732002,3.49
Bpm0207,3.48
dragonhighlord19,3.48
mike_trucker2001,3.48
curvedforherpleasure,3.47
baddboyysweetheart,3.47
duuderm,3.47
raidersdawg5,3.46
orl00fun,3.46
obercock1985,3.45
mxracer_126,3.45
tennisboy213,3.44
whos_your_daddy69_99,3.44
xclusivelyinit,3.44
nampamale1958,3.43
hotplushung,3.43
njdavenj1,3.42
cuteguyinoc2002,3.42
dragonrage613,3.42
darkguyx31,3.41
south_calif_46m,3.41
goodbody1330,3.41
mg0942,3.4
cutechillicotheguy,3.4
lovesource7,3.39
cybertoy02,3.38
jason24829,3.38
marine_with_hard_cock,3.37
Chaznd74/Chaznd1974,3.37
iurutherford,3.37
javiermacias84,3.36
hardblackdick,3.36
jpeterdk2000,3.36
Carlos Cabrera,3.35
greeneyed121,3.34
jeremykeister,3.34
Ryan Thompson,3.34
double_102000,3.33
racine_guy22,3.32
blindsey_01,3.32
antonio69_929,3.32
camaroz282006ss,3.32
sadjack96,3.31
love_is_taj,3.31
caspersc78,3.31
daytona02,3.31
aggresk8er,3.31
photofrog1962,3.31
audavideo/visualistener,3.3
Antitrust40242,3.3
majordude200,3.3
chicago_naperville,3.29
jteno72960,3.29
nismo05007,3.29
corazon23456partio23456,3.29
wl72971,3.29
tattooedman73,3.29
jstforfun007,3.28
hungindian_09,3.28
rayray121980,3.27
sahilmittal123,3.27
cheaperthanawornoutpairofconvers,3.25
recon101_2000,3.24
schutzea,3.24
fightingfalconsguy,3.23
mannbay2004,3.23
artc68,3.22
rkline05,3.21
kool_biker80,3.2
construction1302,3.2
garycincinnati,3.2
marc_00_48089,3.2
Rudy Lee,3.18
jakelewis315,3.16
nakzox,3.16
daddyreyes062000,3.16
shaka_k2000,3.15
ndbaseballstudd/ndbaseballstudd10,3.15
sebastian_lavc,3.14
sebastian_for_u,3.14
sweet_jay83,3.13
shinster007,3.13
indianman76,3.12
jaguarsd69,3.11
lovermangenuis,3.11
jon_buckland,3.1
mrlvejones,3.06
kckboxer18,3.06
i_smoke_alotta_weed,3.05
sean_lee53,3.05
come_ride_and_chill_with_me,3.01
ems51842002,3
jdmar74,3
hennessy1436,3
bmichigan69,2.97
m0g21sk,2.96
jon_raven2000,2.95
shoelessdaishi,2.92
g8rman21,2.92
jjj_200925,2.9
laybay343,2.9
ecwesh,2.81
ikeman_04,2.76
mikeb44la2000,2.74
zigdog2k3,2.73
funindia31,2.67
norcal8guy,2.66
luv2licku68,2.61
justinawashcock,2.57
QX4Boi19,2.54
netbuckeye,2.53
hk_sf_hi,2.49
jefe6,2.3
importuner81,2.28
philknowlan,2.23
kaz4541,2.22
philosophyguy2003,2.12
icetruckkiller103,1.53
